label	text
offensive	they found the white bitch who killed the black guy in his own apartment guilty yea bitch you knew what you was doing ‼️
offensive	you don ’ t never fuck yo niggas bitch n you don ’ t never sneak around him
offensive	watch muslim twitter say shit like voice notes are haram if ur a woman
offensive	singleshadeofislam to them women are less than things
hatespeech	i am thinking of a new old social system <number> only women can own land <number> man job is to maintain and improve the land <number> only men have political power <number> niggers obey or leave <number> jews will volunteer for the ovens <number> fill in the blanks
offensive	unnecessaryconfessions obama i hire women because they are big fat blabbermouths evelynfarkas susanrice
offensive	<user> what if some nigga threw ur airpods on some bitch
offensive	your boy a fraud and his bitch lame <user>
hatespeech	mudder theresa may is a useless mudshark and no mistake
offensive	earlier today i was wondering if i was manic or not and i almost fought some dumb bitch at a stop light so i d say ya i am most definitely manic
offensive	lmao a lot of you all new bitches be my old ho
offensive	no asians no women on my profile thank u 💞
hatespeech	i d like to introduce these dykes to my <number> oz estwing repeatedly
hatespeech	girls are joining boyscouts now better be so they can bring them sandwiches like real women
offensive	niggas she acting like bitches and bitches be loving these niggas wassup with these bitches
hatespeech	good gawd she looks like the prototypical kikess with that rat fuckin face <user>
hatespeech	oklahoma mudshark is attacked while holding her <number> month old mudrat
offensive	leave it to christians to send women to die in war because they do not want them opressed of course i am joking but i am sure it hard to tell for some
offensive	its dumb bitch season all year round
offensive	<number> years that girls in telford have been groomed raped and even killed just because some shit for brains morons incharge did not want to be called racist well how about we call them retarded fuck monkeys instead wonder which they d find worse 😠 🖕
offensive	women have spontaneous multiple orgasms when they see a woman better looking than themselves insulted they love that more than damn near anything
offensive	i did no such thing you psychotic moron i said scared women donct report rape you somehow made that into me wanting rapists to go free after you said any woman who is scared after being raped is useless to society you are one unhinged jackass
hatespeech	lol only a female nigger could be so dumb
offensive	you put a ring on that bitch amp she a hoe still 🤣
hatespeech	very nice now women can decide if they want to get raped or not 😷 taharrush happynewyear migrants islam
hatespeech	are we going to let this confused dyke bully cunt stroke the dick she does not have this wo man will always be a problem if she is not put back in place smug face and arrogance mixed with false confidence is not a good combination for ugly people
hatespeech	like and i had to the hedgehog would fuck themselves in the biggest nut niggers be like yeet bitch
offensive	no doubt it hard to talk when she taking a load in her mouth with old harveyweinstein what some nasty women them bitches are
hatespeech	i jus saw a nigger bich wit a crinkle cut brillohaid
offensive	sometimes you can just tell a woman is a real woman she makes it a point that it is not the nature of women to bitch about most anything in order to be a woman
hatespeech	exactly no mercy for the shameless unapologetic unabashed nigger fucking e slut cam whore how can you expect to be forgiven if you are unrepentant <user> you owe us bigly we made you and we can break you
offensive	pretty and ghetto the type of bitch that won ’ t even say hello 👋
offensive	i had a long week so i just want to dress like a hoe and get drunk will that dream become a reality stay tuned
offensive	<user> i am suppose to be scared of a white bitch that took boxing lessons okay 😭 😭
offensive	yeah i stand behind it your mother would be raped because a woman was too scared to report it yes how do you not understand that rapists do not just stop after one man you are stupid
offensive	prolly heard i was a hoe from a hoe
offensive	these crazy grandiose women are obviously very fucking uneducated and obviously don ’ t know the difference between a poison and a medicine
offensive	hoe from <number> she mysterious
offensive	i hate samantha power another swamp bitch that needs to be dealt with the cia and john brennan should have been immediately under investigation after vault7 scandal was leaked the cia is way too powerful and needs to be abolished
hatespeech	yeah and nobody wants to see nigger tits either
offensive	bitches be like i got <number> kids kaden jaden brayden zayden well damn bitch okayden 😭
offensive	oh i abuse women alright i abuse the fook out that pwussy han
offensive	christensen you can have my bitch after that pass 😍
offensive	the internet does not allow us the social mechanisms and personal presence needed for that to happen naturally also modernity feminism has turned many women into unhinged sociopaths there is nothing you can really do other than relentlessly ostracize
hatespeech	politico terminated the contract of that kike bitch julia ioffe early due to her stupid fucking tweet
hatespeech	my next apt is taking forever on the background check my imagination so about your secret racist posting career what exactly did you mean in <date> by gelatinous sheboon theatrics
offensive	i don ’ t trust bitches who dance in victoria ’ secret lol
offensive	<user> seems the better analogy may be ‘ for donald trump lying is like exploiting and perpetrating sexual violence against women ’
offensive	just to be clear it cool for the bitch to get the dick but not if she a dumb bitch and dirty in which case she gets the cliff
hatespeech	god damned kike whore cunt so sure that none of those cowards could ever get to her in her hymiewood mcmansion
offensive	mudshark and black diversity
offensive	wow you are so alpha abusing women on the internet parroting anglin troll articles you just dgaf what these bitches <number> something married women opposing feminism on youtube say so so alpha now go finish your homework before your mom gets angry
offensive	seen hustlers today n i just wanna say that white bitch was annoying throwing up every <number> seconds 😴 🙄 if u can not deal get out the game biitch ‼️
offensive	having hoes is a sport dominated by females
offensive	i am a little surprised femi commie nazis have not declared ejaculate itself to be emblematic of white supremacy
hatespeech	no one likes overweight women either
offensive	these hoes are insane
offensive	<user> gotta expose these hoes
hatespeech	why is it that women have no problem aborting healthy babies but at the same time feel a moral obligation to keep retarded ones
hatespeech	beta males and their feminist masters yammer on about the morality of sex being nice and how women are the real victims while mexican alpha breed them out of existence virtue signaling will not propagate your genes only subjugating women and putting buns in the oven early and often
offensive	<user> lmfao girl how you come up with this it makes sense tho cause niggas fuck every hoe raw 🤮
offensive	bitches outside they some sad ass bitches
offensive	good reasons why not to mudshark
offensive	never in my life will you see me date a white butch lesbian i will never do that to myself
offensive	as long as women are in the game it nice to have some intelligent ones but like the homosexuals you will never get that cat back in the bag obama knew that
offensive	this hoe said snooze you lose
hatespeech	fuck this nigger bitch
hatespeech	<user> <user> <user> <user> alan do you white knight like this all the time because it will not get you laid just force yourself onto her like all you male feminazis do
offensive	there a key economic concept called sunk cost that seems applicable here men should always apply it to women who fatally disappoint cruel justice is not worth contemplating find younger tighter hotter then express your soulful love
offensive	lmao some criminal white bitch gets a spot on global news for her dog shit pop corn business while still being on parole worlds fucked
offensive	essential problem women nurture and virtue preen that means their mothering instinct gets ejaculated all over rapefugees cacas ghetto trash scab peasant labor and generally the worst and most incompetent of society all this is incompatible with sustaining civilization
offensive	no it a fucking retarded idea on par with women suffrage
offensive	“ i don ’ t have to respect women i ’ m gay ” kevin
offensive	bitches be doing too much be cool hoe
offensive	sometimes you can know a mudshark just by looking at her
offensive	the prevalence of feminism demonstrates that the future is now the ponderous pace of evolution argues that the future reflects the past and the present only the biological limits of dimorphism have prevented women from evolving into reproduction machines sexbots meh gmo women brave new world
offensive	<user> this girl is retarded lmao if you ’ re lucky enough to have this then why would you act like that
hatespeech	you nigger biches ain t ever gonna have straight white girl hair so cut da shit wit da horsehair weaves
offensive	who do bitches in horror movies always have huge houses like cmon we know you can ’ t cover those property taxes
offensive	lmao the fucking lying slut
offensive	you never know there was that one girl who made herself blind and a bunch of other deranged liberals that harm themselves to virtue signal there might be some women that undergo fgm to virtue signal
offensive	<user> <user> do not have any hth need more hoes tho
offensive	they will get raped anyway at this point nothing matters but to ensure that they do not get abducted or raped into pregnancy by the other tribes think of them as machines that produce babies and literally listen to whoever is in power
offensive	any nigga that allow they self to beef with a female is a faggot
offensive	no longer fake fucking with you hoes
offensive	blocking bitches today
offensive	if i was her i would do my godly duty and accidentally knee that bitch in the jaw claiming reflex as an involuntary response to uninvited stimuli
hatespeech	why are the most extreme feminists always lesbian dykes trying to be guys anyway
hatespeech	this is why we will need a trial period giving them a daily quota of loudly shouting kike nigger immigrant faggot sluts any former dem who fails their quota gets to vote for trump once as a confession of their guilt before their execution for violating anti trumpitism laws
offensive	<user> <user> she grown and can do what she wants talk to my friends nice bitch
hatespeech	you have yet to make an argument why the nazis were trash let me consider your motives for being anti white 🤔 maybe it because you are a trashy whore who took <number> nigger dicks in your day
offensive	<user> she should of raped and abused young white girls <user> would of turned a blind eye
offensive	yikes you can see the insanity on their faces and all men flocking together as if for security i bet a crowd of those muslim women would beat the hell out of a few of these pathetic muslim wimpy looking excuses for men
offensive	<user> <number> <number> but they are not coming from a place of constructive criticism they are complaining about how boys have pockets they do not which is absolutely retarded i actually design clothing for a living so i will tell you why women pants pockets are so shitty <number> women just do not
hatespeech	and just like you she is a welfare whore with a passel of half breed nigger brats and we all cheer her loss faggot 😂
offensive	bitches get one friend n just ttg <number> toes lmaoo that tho only friend you got bitch weird ass hoes
hatespeech	of course there will always be white actors and actresses it just they are slated to always play villains and nigger whores western pop culture is devolving into niggerdom at such frightening pace it truly is painful to watch
hatespeech	hey hawaii vote this fake dem nazi c*unt <censored> out of office the world is watching and we are holding you accountable gabbard
hatespeech	this is what happens when you let alt troasties think they are allowed to have opinions they suddenly get the idea that fucking niggers is ok as long as they do not do it anymore how many nigger dicks have you sucked before whore
offensive	uh because women are slow did they let them ask the audience for the answers or make phonecalls too
hatespeech	boom should have sent that text made that phone call sooner i am out of this bitch by the end of november fuck this ghetto ass hoe
offensive	when yo nigga know you clean he will lick on every part of you 💯 you dirty bitches can not relate 🤷 🏾 ‍ ♀️ 🥵
hatespeech	we need more women in these fields perfect accelerationism and niggers especially nigger females
offensive	bitches this pretty thats seldom
hatespeech	<user> <user> believe all women unless raped by a democrat then destroy the victim at all costs
offensive	been solid but all these bitches do is fold ew
offensive	roflmao i never said i thought you were kike only that the mud loving language you use is a kike lie can you read cunt i gave you pegged and your laborious effort to squirm out is quite evident
hatespeech	attention all lieberal feminazi here a cause for you put on your pussy hats and go get the toxic male responsible for actual pussy grabbing c mon lying bitches still waiting
offensive	the most disrespectful thing you can do is call your female another bitch name
offensive	daddy horny you know what that means get on your knees and be a slut for me you love my cock i love using and abusing you win win
offensive	q what do you call a mooslim woman with an opinion a whatever you want she already been stoned to death
offensive	i gave my wife a cream pie and it did not come out for days she an anal retentive bitch
offensive	the reality is you not finna learn which type of bitch you donating to until after you done spent on her
hatespeech	<user> this ugly kike cunt keeps showing up on my timeline
offensive	if you see any women like this walking around with a mattress totally ignore them they are mentally ill and dangerous feminazi redpill campus titleix academia mras redpill masculinity
hatespeech	well the world was fucked up the day women and niggers got voting rights
offensive	women always be crying bout some lil shit like damn it aint even got nun to do witcho
offensive	i swear i be chilling i don ’ t mess with married women but got damn you hoes so fraud to yo husbands
offensive	you all hoes have no morals
offensive	<user> thanks folks i was moking the feminazi from the original tweet i don ’ t need any assistance from you so have a nice day ☺ ️
offensive	how hoes be whole ass adults and cant drive
offensive	yall be thinking yall slick posting them damn dates months away bitch we know you pregnant 🙄
hatespeech	skank mudshark has to shop at the dollar store cause shes a single mom
offensive	thank the lord this dumb bitch has no kids and her genetically defective line will end with her
offensive	i fuck with myself heavy can not trust no hoe
offensive	i hate hoes tow up hoes
offensive	reminds me of the salem witch hunts back in the <number> bunch of hysterical women did that too
offensive	came in to the pharmacy playing stone temple pilots too loud and was asked why i was playing angry music by my coworker bitch it not angry music but you the reason
offensive	i need somebody to twist my hair for me no richmond hoes tho i do not trust you bitches
hatespeech	<number> specifically the male acquiescence to female liberation has resulted in this current conundrum in order to solve the current conundrum women must be de liberated by having their decision making privileges removed
hatespeech	but things are evolving i think they would now look what those blm sheboons did to bernie
offensive	because women would never lie about being sexually assaulted for personal gain ain t that right feminists
hatespeech	<user> high standards that black bitch looks like harambe retarded cousin
offensive	who ’ washing the hoe out their hair this morning
offensive	big boory hoes for jinyoung and big tiddies hoes for jaebeom
offensive	one of my favorite pastimes is mansplaining to women how we live in a covert matriarchy not a patriarchy <number> times out of <number> they short circuit and explode truth hurts huh i am an alpha i do not need to appease you lol
offensive	miss lindsey is john mccains boy toy miss lindsey is a demented faggot
offensive	throw some weave on dat bitch just bought a pack of yak
offensive	take yo bitch ass back to the east
hatespeech	yep and that mudshark is gonna be punished for race mixing none of their prayers will stop that god hates race mixers and that devil spawn niglet is toast prayers for that animal are not answered nor even heard stupid church cucks
hatespeech	well nigger loving whores like you have no shame
offensive	whoever took good news off soundcloud your mom is a fucking hoe
offensive	bitch what if i don ’ t want my bday to end
hatespeech	kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is the victim cunt needs to have some dick forced up he dyke ass barron trumps
hatespeech	mudshark sunglasses to go with your mudshark milk shake
hatespeech	it certainly fugly enough to be a kike bitch
hatespeech	this obnoxious nigger bitch on tucker show deserves a noose put around her neck and hanged until she dead
offensive	bitches love bath and body works but hate to put they body in a bath and go to work i can not with these bitches
offensive	you all hoes is dirty uhmkay
offensive	watch out hoes
offensive	where this goes awry is when we allow the women to take control and begin applying their compassion in inappropriate and even damaging ways as my wife puts it women are to love those the husband allows into the home <number> <number>
offensive	that fuckin mustache that bitch used to look <number> and shit
offensive	i keep saying them white bitches are pure evil when their back is against the wall they only care about themselves oh and them white niggas too 🙄 i have witnessed this in so many different scenarios
offensive	killary is such a bitch she should be behind bars
offensive	hoes be to slick do not trust that bitch
offensive	you all white whores are trashy as fuck it the <number> century you all pussy is a tragedy you all blk businessmen are ghetto as fuck helping some white bitch pussy that has a problem with blk ppl using bank or credit cards get a fucking dick in your pants
offensive	american sexy porn girls asians young fucking job wife ass ass
offensive	how about just a regular prosecutor who gets the job done and nails the bitch once and for all
offensive	arya that bitch battle of winterfell
offensive	you bitches is real life basic asf step your motherfucking cookies up
offensive	niggas be acting like bitches and bitches be loving these niggas wassup these bitches
hatespeech	ghetto corner whore do you know your trailer is whiter than you rolf
hatespeech	<user> <user> women can not be wise estrogen makes them retarded
offensive	bad bitch she conceited
offensive	it always the white bitches that can not sing 😩 😂
offensive	shut this twerkin fuck with blunts lambo trash hoes
offensive	bitches w big tits and no ass built like an improper fraction
offensive	fellas would you fuck a bitch with no arms
hatespeech	a mudshark is a white woman who is only attracted to black men a thot is a whore every mudshark is a thot but not every thot is a mudshark
offensive	nothing says white bitch more than getting excited about almond butter
offensive	why he can not get a hoe that work minus the crazy
offensive	why do their women always dress for halloween are they really that ugly
hatespeech	white women have really fucked this country up we will be a lot better off when they are extinct
offensive	if women can sync up their menstrual cycles vader is thinking maybe they can sync up their gab posting and sleep cycles we should do some studies on this for science d
offensive	whoever stole my phone at <user> last night is a fucking bum ass bitch
offensive	you d think they d stop showing all those advertisements pushing the idea of black men in relationships with white women then given that it must greatly upset the sheboon demographic seeing their future baby daddies getting with some white skank uu girl you betta watch yoself
offensive	you bitches loyal to someone that ’ fucking soo many different bitches i feel you tho
offensive	being a slut just takes too much effort
offensive	preachers preach to women to control the men this is the way the devil operates and he is running your church
offensive	it ’ payday bitches
hatespeech	this is the real metoo help us daddywhiteman give us free stuff from unfair divorce settlements and unfair access to the kids to unfair application of the terms domestic violence or sexual harassment metoo i want a secure well paid job in the government without many men around metoo
offensive	can not trust a bitch that follower her friend like a pet
offensive	do hoes still wear body spray cause these new hoes be musty
offensive	hannah baker was a bitch wtf
offensive	can ’ t be a bad bitch and ya toes not proper it just don ’ t work
offensive	lmao who seeing cupcakke tonight i am down af to go but i got no bitch to go with
offensive	bitches be acting like niggas niggas be acting like bitches bitches be loving these niggas
offensive	omg unchanged again bielsa your a cunt eddie 😭 😭
offensive	horizon zero dawn looks awesome but no way i am having a smug empowered rope haired hippy bitch as my avatar i will pass
offensive	beta orbiter literally just saying i do not believe you are a female and that makes someone a beta orbiter jesus you are retarded i actually take it back you must be a woman to be this stupid
offensive	top players women jr colleges are black but they are from places like liberia uganda ethiopia senegal they are not american blacks and they are as tall as <number> <number> women many look like men is this really america
offensive	when i was young my goal was to be like jane curtin on snl an ignorant slut finally realized my goals
hatespeech	i would love to see trump bring <number> white women from europe call them refugees from the madness of merkel other lefties and refugees from rapist muslims bring them here and have a baby boom american men are tired of fat women
hatespeech	taylor swift is a whore who went through a lot of men worked with jewish producers dated jew jake gyllenhaal had nigger background dancers and made love songs with shitskins she promotes drinking promiscuity racemixing and she must die for this paid too little attention to realize till now
offensive	lemme go watch dany be a stupid bitch yet again on got
offensive	broke dirty funky underarms stinky ass bitch 😷 go shave hairy 🤮
hatespeech	men like feminine women so low t of asians is a clear winner women like high t men however niggers are likely offset by low status
offensive	kick the doors off cut the tires up burn that bitch
offensive	<user> still go hoe around tho so you are point
offensive	coke white bitches
hatespeech	that fat fucking dyke pos should indeed be prosecuted and campaign finance violations should be the least of it get her on public indecency charges whatever they can come up with
offensive	telling bitches you gon eat em out amp lying about it jus so they got another reason to come over gt ;>>
offensive	the newright is scrambling around the trumpisawhitesupremacist tag trying to prove to racists that trump is not one doing exactly what non whites want it not so much nonwhites as it virtue signalling cowardly guilt ridden white bitches wanting desperately to show how not racist they are
offensive	this hoe needs to get beat down omg
offensive	she a criminal piece of shit this bitch should hang when her fat ass falls it will pop her head off like saddam hussein
offensive	bitches be si press to go to the club but be sitting looking dumb as shit 😂 bitch go home
hatespeech	but boom you are welcome feminists are pro women in the draft you might want to check with the anti feminists who want to keep women in the home domain pretty sure they are more any women in military than feminists are think about it
offensive	i got thotty money but these hoes get nothing
offensive	i was really happy when my wife told me she was pregnant and it was going to be a girl now i can stop all this gay shit with my son
offensive	nigga got a white bitch just to tell her what to do
hatespeech	dumb yid cunt but most people know that anyway
offensive	<user> brainwashed feminnazis they are not dictating to me do not disarm i repeat do not disarm
offensive	the next 4 chan troll should be to sell the muslim women on surgically embedding hijabs into their scalps
offensive	when bitches say this is real you are real yes even real or not real it just hits different
offensive	tbtc take back the country toxic masculinity patriarchy harm men noxious femaleness and public slut posturing empower women neither feminism nor now could have pulled this off this is the doing of taxpayer supported state university system maga
offensive	it a mediocre tinder knockoff where women are required to message men first it useless in eastern europe because the only women who use it are british or irish tourists
offensive	i am fucking done with this bitch
offensive	my being a highly educated exemplar equipped with an exemplary mastery of english i call this fucking piece of shit a fucking feminist bitch cunt what do you call it
